date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_entry,speed,outcome,winner_entry
2023-08-28,US Open,G,5,H,false,F,Novak Djokovic,2,Serbia,SRB,2,9,2434,Daniil Medvedev,3,Russian Federation,RUS,3,-9,2267,6-3 7-6(5) 6-3,,,,
2023-08-28,US Open,G,5,H,false,SF,Novak Djokovic,2,Serbia,SRB,2,2,2432,Ben Shelton,,United States,USA,47,-2,1915,6-3 6-2 7-6(4),,,,
2023-08-28,US Open,G,5,H,false,QF,Novak Djokovic,2,Serbia,SRB,2,3,2429,Taylor Harry Fritz,9,United States,USA,9,-4,2096,6-1 6-4 6-4,,,,
2023-08-28,US Open,G,5,H,false,R16,Novak Djokovic,2,Serbia,SRB,2,1,2428,Borna Gojo,,Croatia,CRO,105,-1,1835,6-2 7-5 6-4,Q,,,
2023-08-28,US Open,G,5,H,false,R32,Novak Djokovic,2,Serbia,SRB,2,1,2427,Laslo Djere,32,Serbia,SRB,38,-2,1947,4-6 4-6 6-1 6-1 6-3,,,,
2023-08-28,US Open,G,5,H,false,R64,Novak Djokovic,2,Serbia,SRB,2,1,2426,Bernabe Zapata Miralles,,Spain,ESP,76,-1,1808,6-4 6-1 6-1,,,,
2023-08-28,US Open,G,5,H,false,R128,Novak Djokovic,2,Serbia,SRB,2,1,2425,Alexandre Muller,,France,FRA,84,-1,1778,6-0 6-2 6-3,,,,
2023-07-03,Wimbledon,G,5,G,false,F,Carlos Alcaraz Garfia,1,Spain,ESP,1,20,2324,Novak Djokovic,2,Serbia,SRB,2,-21,2426,1-6 7-6(6) 6-1 3-6 6-4,,,,
2023-07-03,Wimbledon,G,5,G,false,SF,Novak Djokovic,2,Serbia,SRB,2,5,2421,Jannik Sinner,8,Italy,ITA,8,-5,2147,6-3 6-4 7-6(4),,,,
2023-07-03,Wimbledon,G,5,G,false,QF,Novak Djokovic,2,Serbia,SRB,2,5,2416,Andrey Rublev,7,Russian Federation,RUS,7,-4,2148,4-6 6-1 6-4 6-3,,,,
2023-07-03,Wimbledon,G,5,G,false,R16,Novak Djokovic,2,Serbia,SRB,2,2,2414,Hubert Hurkacz,17,Poland,POL,18,-3,2038,7-6(6) 7-6(6) 5-7 6-4,,,,
2023-07-03,Wimbledon,G,5,G,false,R32,Novak Djokovic,2,Serbia,SRB,2,2,2412,Stan Wawrinka,,Switzerland,SUI,88,-3,1977,6-3 6-1 7-6(5),,,,
2023-07-03,Wimbledon,G,5,G,false,R64,Novak Djokovic,2,Serbia,SRB,2,1,2411,Jordan Thompson,,Australia,AUS,70,-1,1838,6-3 7-6(4) 7-5,,,,
2023-07-03,Wimbledon,G,5,G,false,R128,Novak Djokovic,2,Serbia,SRB,2,1,2410,Pedro Cachin,,Argentina,ARG,68,-1,1809,6-3 6-3 7-6(4),,,,
2023-05-28,Roland Garros,G,5,C,false,F,Novak Djokovic,3,Serbia,SRB,3,5,2405,Casper Ruud,4,Norway,NOR,4,-5,2111,7-6(1) 6-3 7-5,,,,
2023-05-28,Roland Garros,G,5,C,false,SF,Novak Djokovic,3,Serbia,SRB,3,10,2395,Carlos Alcaraz Garfia,1,Spain,ESP,1,-10,2285,6-3 5-7 6-1 6-1,,,,
